Date,Month,Month Name,Region,City,Customer Type,Channel,Product,Category, Unit Price ,Quantity, Revenue ,Sales Rep, Cost Price , COGS , Profit 
2025-01-19,1,January,West,Port Harcourt,Retail,Online,Office Chair Pro,Furniture," 85,000 ",1," 85,000 ",Chidinma," 68,000 "," 68,000 "," 17,000 "
2025-04-29,4,April,East,Lagos,Retail,Store,Blender B10,Home Appliances," 30,000 ",8," 240,000 ",Chidinma," 24,000 "," 192,000 "," 48,000 "
2025-02-27,2,February,East,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture," 85,000 ",2," 170,000 ",David," 68,000 "," 136,000 "," 34,000 "
2025-04-25,4,April,South,Kano,Retail,Online,Microwave M20,Home Appliances," 60,000 ",2," 120,000 ",Musa," 48,000 "," 96,000 "," 24,000 "
2025-04-27,4,April,North,Kano,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",2," 600,000 ",Chidinma," 240,000 "," 480,000 "," 120,000 "
2025-03-08,3,March,South,Abuja,Retail,Online,Air Conditioner X2,Home Appliances," 180,000 ",10," 1,800,000 ",Chidinma," 144,000 "," 1,440,000 "," 360,000 "
2025-03-09,3,March,South,Abuja,Corporate,Online,Sofa Classic,Furniture," 320,000 ",4," 1,280,000 ",Musa," 256,000 "," 1,024,000 "," 256,000 "
2025-02-06,2,February,South,Kano,Retail,Online,Sofa Classic,Furniture," 320,000 ",1," 320,000 ",Peter," 256,000 "," 256,000 "," 64,000 "
2025-03-24,3,March,East,Lagos,Retail,Store,Sofa Classic,Furniture," 320,000 ",9," 2,880,000 ",Musa," 256,000 "," 2,304,000 "," 576,000 "
2025-03-26,3,March,South,Lagos,Retail,Online,Sofa Classic,Furniture," 320,000 ",3," 960,000 ",Musa," 256,000 "," 768,000 "," 192,000 "
2025-01-24,1,January,South,Port Harcourt,Retail,Online,Printer P50,Electronics," 150,000 ",4," 600,000 ",Peter," 120,000 "," 480,000 "," 120,000 "
2025-01-20,1,January,West,Kano,Corporate,Online,Sofa Classic,Furniture," 320,000 ",7," 2,240,000 ",Peter," 256,000 "," 1,792,000 "," 448,000 "
2025-04-26,4,April,South,Port Harcourt,Retail,Store,Printer P50,Electronics," 150,000 ",2," 300,000 ",Aisha," 120,000 "," 240,000 "," 60,000 "
